228,15.0996685,8.96212292,1.89E-04,1.37E-02
229,15.1327457,8.92718029,5.00E-04,2.24E-02
230,15.1657505,8.88150311,6.27E-04,2.50E-02
231,15.1986837,8.92916965,2.92E-04,1.71E-02
232,15.2315464,8.95998955,3.19E-04,1.79E-02
233,15.2643375,8.97088623,3.24E-04,1.80E-02
234,15.2970581,9.01078987,5.03E-05,7.09E-03
235,15.32971,9.04840088,1.61E-04,1.27E-02
236,15.3622913,9.06418419,4.59E-05,6.78E-03
237,15.394804,9.08055305,1.15E-04,1.07E-02
238,15.427249,9.0672226,5.30E-05,7.28E-03
239,15.4596252,9.01771259,6.93E-04,2.63E-02
240,15.4919338,9.00129128,1.17E-04,1.08E-02
241,15.5241747,9.0342083,2.71E-04,1.64E-02
242,15.5563488,9.08399105,6.06E-05,7.79E-03
243,15.5884571,9.11013889,1.13E-04,1.06E-02
244,15.6204996,9.12850571,7.07E-05,8.41E-03
